<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VIN,20160727,9.25,9.25,9.25,9.25,1300,10.90,10.90,10.90,10.90,0,0,0
VIN,20160726,9.33,9.33,9.33,9.33,1500,11.00,11.00,11.00,11.00,0,0,0
VIN,20160721,9.34,9.34,9.25,9.33,2600,11.00,11.00,10.90,11.00,0,0,0
VIN,20160720,9.41,9.41,9.41,9.42,500,11.10,11.10,11.10,11.10,0,0,0
VIN,20160719,9.50,9.50,9.33,9.33,4800,11.20,11.20,11.00,11.00,0,0,0
VIN,20160718,9.50,9.50,9.50,9.50,1400,11.20,11.20,11.20,11.20,0,0,0
VIN,20160715,9.50,9.50,9.50,9.50,1900,11.20,11.20,11.20,11.20,0,0,0
VIN,20160713,9.51,9.51,9.51,9.50,1800,11.20,11.20,11.20,11.20,0,0,0
VIN,20160712,9.59,9.59,9.42,9.59,5400,11.30,11.30,11.10,11.30,0,0,0
VIN,20160711,9.84,9.84,9.84,9.84,100,11.60,11.60,11.60,11.60,0,0,0
VIN,20160708,9.76,9.76,9.76,9.76,600,11.50,11.50,11.50,11.50,0,0,0
VIN,20160707,9.76,9.76,9.76,9.76,900,11.50,11.50,11.50,11.50,0,0,0
VIN,20160706,9.76,9.76,9.76,9.76,900,11.50,11.50,11.50,11.50,0,0,0
VIN,20160704,9.76,9.76,9.76,9.76,600,11.50,11.50,11.50,11.50,0,0,0
VIN,20160630,9.75,9.75,9.75,9.76,100,11.50,11.50,11.50,11.50,0,0,0
VIN,20160629,9.33,9.33,9.33,9.33,2900,11.00,11.00,11.00,11.00,0,0,0
VIN,20160627,9.33,9.33,9.33,9.33,1000,11.00,11.00,11.00,11.00,0,0,0
VIN,20160621,9.33,9.33,8.23,9.33,1700,11.00,11.00,9.70,11.00,0,0,0
VIN,20160620,9.84,9.84,8.40,8.40,800,11.60,11.60,9.90,9.90,0,0,0
VIN,20160616,9.84,9.84,9.84,9.84,200,11.60,11.60,11.60,11.60,0,0,0
VIN,20160615,9.85,9.85,9.76,9.84,5100,11.60,11.60,11.50,11.60,0,0,0
VIN,20160606,10.61,10.61,10.61,10.61,100,12.50,12.50,12.50,12.50,0,0,0
VIN,20160602,11.03,11.03,11.03,11.03,100,13.00,13.00,13.00,13.00,0,0,0
VIN,20160601,10.18,10.18,10.18,10.18,500,12.00,12.00,12.00,12.00,0,0,0
VIN,20160531,10.10,10.10,10.10,10.10,500,11.90,11.90,11.90,11.90,0,0,0
VIN,20160530,10.19,10.19,10.19,10.18,500,12.00,12.00,12.00,12.00,0,0,0
VIN,20160527,10.44,10.44,10.44,10.44,500,12.30,12.30,12.30,12.30,0,0,0
VIN,20160526,10.44,10.44,10.44,10.44,1000,12.30,12.30,12.30,12.30,0,0,0
VIN,20160525,10.53,10.53,10.53,10.52,1000,12.40,12.40,12.40,12.40,0,0,0
VIN,20160524,10.61,10.61,10.61,10.61,1000,12.50,12.50,12.50,12.50,0,0,0
VIN,20160519,10.60,10.69,10.60,10.69,700,12.50,12.60,12.50,12.60,0,0,0
VIN,20160518,9.33,9.33,9.33,9.33,1500,11.00,11.00,11.00,11.00,0,0,0
VIN,20160517,10.86,10.86,10.86,10.86,1000,12.80,12.80,12.80,12.80,0,0,0
VIN,20160516,10.86,10.86,10.19,10.18,1400,12.80,12.80,12.00,12.00,0,0,0
VIN,20160513,10.86,10.86,10.19,10.61,1100,12.80,12.80,12.00,12.50,0,0,0
VIN,20160512,10.86,10.86,10.77,10.78,3200,12.80,12.80,12.70,12.70,0,0,0
VIN,20160510,9.67,10.86,9.67,10.86,3500,11.40,12.80,11.40,12.80,0,0,0
VIN,20160509,11.37,11.37,11.37,11.37,100,13.40,13.40,13.40,13.40,0,0,0
VIN,20160505,11.11,11.11,9.75,9.76,300,13.10,13.10,11.50,11.50,0,0,0
VIN,20160504,9.68,9.68,9.68,9.67,200,11.40,11.40,11.40,11.40,0,0,0
VIN,20160429,9.76,9.76,9.76,9.76,100,11.50,11.50,11.50,11.50,0,0,0
VIN,20160427,9.59,9.84,9.59,9.76,800,11.30,11.60,11.30,11.50,0,200,0
VIN,20160426,9.84,9.84,9.84,9.84,400,11.60,11.60,11.60,11.60,0,0,0
VIN,20160422,9.76,9.76,9.76,9.76,1500,11.50,11.50,11.50,11.50,0,0,0
VIN,20160421,9.59,9.59,9.59,9.59,100,11.30,11.30,11.30,11.30,0,100,0
VIN,20160419,9.67,9.67,9.59,9.59,12000,11.40,11.40,11.30,11.30,0,8000,0
